Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,Standard Units
CHEMBL902,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,IC50,,
CHEMBL1566249,CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21,IC50,,
CHEMBL1909049,COc1ccccc1C(=O)N1CCC(Cc2ccccc2)CC1,IC50,,
CHEMBL309608,COCCOC(C)(C)C(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1,IC50,1.4,nM
CHEMBL320808,COCC(=O)OCCCS(=O)(=O)c1ccc(S(N)(=O)=O)s1,IC50,4.5,nM
CHEMBL177623,NS(=O)(=O)NCC1Oc2ccccc2O1,IC50,129000,nM
CHEMBL309950,COCCOCCN(CCOC)C(=O)CC1C(=O)Nc2cc(S(N)(=O)=O)sc2S1(=O)=O,IC50,2.18,nM
CHEMBL18,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,IC50,3,nM
CHEMBL555182,CCN(CC)C1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21.Cl,IC50,12.3,nM
CHEMBL18,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,IC50,0.3,nM
CHEMBL2392425,NS(=O)(=O)c1ccc(/N=C2/NC(=O)/C(=C/c3cc(O)ccc3Br)S2)cc1,IC50,9.33,nM
CHEMBL508732,Cc1ccc(S(=O)(=O)n2cccc2)cc1,IC50,23140,nM
CHEMBL799,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,IC50,,
CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,IC50,,
CHEMBL1909055,,IC50,,
CHEMBL64,,,,
CHEMBL340519,COc1ccc(C(=O)c2coc(S(N)(=O)=O)c2)cc1,IC50,2,nM
CHEMBL559014,CN1CCN(Cc2ccccc2S(=O)(=O)c2csc(S(N)(=O)=O)c2)CC1.Cl,IC50,23,nM
CHEMBL538245,CC(C)CNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl,IC50,2.5,nM
CHEMBL545756,Cl.NS(=O)(=O)c1cc(C(=O)c2ccc(CN3CCOCC3)cc2)cs1,IC50,3.7,nM
CHEMBL538536,CCN(CC)Cc1cc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)ccc1O.Cl,IC50,10,nM
CHEMBL69926,NS(=O)(=O)CSc1ccc(O)cc1,IC50,2900,nM
CHEMBL314803,NS(=O)(=O)c1cc2ccc(O)cc2s1,IC50,9.9,nM
CHEMBL1760,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,IC50,,
CHEMBL121086,CC(C)(C)C(=O)Oc1ccc2cc(S(N)(=O)=O)oc2c1,IC50,7,nM
CHEMBL333520,NS(=O)(=O)c1cc2cc(N3CCOCC3)sc2s1,IC50,3,nM
CHEMBL121086,CC(C)(C)C(=O)Oc1ccc2cc(S(N)(=O)=O)oc2c1,IC50,3,nM
CHEMBL332559,NS(=O)(=O)c1ccc(-c2ccccn2)s1,IC50,8.51138E+15,nM
CHEMBL1084675,NS(=O)(=O)NCc1csc2ccc(Cl)cc12,IC50,8400,nM
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,285,nM
CHEMBL1487,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,IC50,,
CHEMBL134342,O=C(O)CCCC[C@@H]1CCSS1,IC50,,
CHEMBL41543,,,,
CHEMBL1230813,OC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO,IC50,,
CHEMBL37161,COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,IC50,,
CHEMBL1390,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,IC50,,
CHEMBL428,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,IC50,,
CHEMBL1475,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,IC50,,
CHEMBL544355,CC(C)CCNCc1cccc(C(=O)c2csc(S(N)(=O)=O)c2)c1.Cl,IC50,9,nM
CHEMBL374721,,,,
CHEMBL311548,CCCCOS(=O)(=O)c1ccc2nc(S(N)(=O)=O)sc2c1,IC50,1.8,nM
CHEMBL107537,NS(=O)(=O)c1ccc(SCCCCO)cc1,IC50,9,nM
